"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","counter","mlchoice","relcount","maxcount","f_a0","f_a1","f_btn2","f_btn1","t_a0","t_a1","t_btn2","t_btn1"
"1","Demo2Boxes","anonymous","::1","-1","btn2","2016-07-13 18:50:43","mouseout","0","0_1","0_0","a0","17444","624","1","btn2","0.2","5","1","0","0","0","624","0","0","0"
"1","Demo2Boxes","anonymous","::1","-1","btn2","2016-07-13 18:50:43","mouseout","0","0_1","0_0","a1","18068","1059","2","btn2","0.4","5","0","1","0","0","0","1059","0","0"
"1","Demo2Boxes","anonymous","::1","-1","btn2","2016-07-13 18:50:43","mouseout","0","0_1","0_0","a0","19143","1766","3","btn2","0.6","5","1","0","0","0","1766","0","0","0"
"1","Demo2Boxes","anonymous","::1","-1","btn2","2016-07-13 18:50:43","mouseout","0","0_1","0_0","a1","20927","1255","4","btn2","0.8","5","0","1","0","0","0","1255","0","0"
"1","Demo2Boxes","anonymous","::1","-1","btn2","2016-07-13 18:50:43","onclick","0","0_1","0_0","btn2","22925","415","5","btn2","1","5","0","0","1","0","0","0","415","0"
"2","Demo2Boxes","michael","::1","1","btn1","2016-07-13 21:39:36","mouseout","0","0_1","0_0","a1","2662","1195","1","btn1","0.33333333333333","3","0","1","0","0","0","1195","0","0"
"2","Demo2Boxes","michael","::1","1","btn1","2016-07-13 21:39:36","mouseout","0","0_1","0_0","a0","3857","659","2","btn1","0.66666666666667","3","1","0","0","0","659","0","0","0"
"2","Demo2Boxes","michael","::1","1","btn1","2016-07-13 21:39:36","onclick","0","0_1","0_0","btn1","4746","392","3","btn1","1","3","0","0","0","1","0","0","0","392"
"3","Demo2Boxes","Sonja","::1","1","btn2","2016-07-13 21:40:03","mouseout","0","0_1","0_0","a1","1259","5447","1","btn2","0.25","4","0","1","0","0","0","5447","0","0"
"3","Demo2Boxes","Sonja","::1","1","btn2","2016-07-13 21:40:03","mouseout","0","0_1","0_0","a0","6722","5961","2","btn2","0.5","4","1","0","0","0","5961","0","0","0"
"3","Demo2Boxes","Sonja","::1","1","btn2","2016-07-13 21:40:03","mouseout","0","0_1","0_0","a1","12683","3512","3","btn2","0.75","4","0","1","0","0","0","3512","0","0"
"3","Demo2Boxes","Sonja","::1","1","btn2","2016-07-13 21:40:03","onclick","0","0_1","0_0","btn2","16555","366","4","btn2","1","4","0","0","1","0","0","0","366","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","1355","286","1","btn2","0.035714285714286","28","1","0","0","0","286","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","1658","305","2","btn2","0.071428571428571","28","0","1","0","0","0","305","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","1980","262","3","btn2","0.10714285714286","28","1","0","0","0","262","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","2242","282","4","btn2","0.14285714285714","28","0","1","0","0","0","282","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","2524","271","5","btn2","0.17857142857143","28","1","0","0","0","271","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","2812","256","6","btn2","0.21428571428571","28","0","1","0","0","0","256","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","3085","254","7","btn2","0.25","28","1","0","0","0","254","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","3358","220","8","btn2","0.28571428571429","28","0","1","0","0","0","220","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","3578","259","9","btn2","0.32142857142857","28","1","0","0","0","259","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","3837","280","10","btn2","0.35714285714286","28","0","1","0","0","0","280","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","4117","270","11","btn2","0.39285714285714","28","1","0","0","0","270","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","4387","268","12","btn2","0.42857142857143","28","0","1","0","0","0","268","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","4655","238","13","btn2","0.46428571428571","28","1","0","0","0","238","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","4893","222","14","btn2","0.5","28","0","1","0","0","0","222","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","5132","258","15","btn2","0.53571428571429","28","1","0","0","0","258","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","5391","244","16","btn2","0.57142857142857","28","0","1","0","0","0","244","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","5635","314","17","btn2","0.60714285714286","28","1","0","0","0","314","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","5950","297","18","btn2","0.64285714285714","28","0","1","0","0","0","297","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","6247","342","19","btn2","0.67857142857143","28","1","0","0","0","342","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","6589","205","20","btn2","0.71428571428571","28","0","1","0","0","0","205","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","7155","348","21","btn2","0.75","28","0","1","0","0","0","348","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","7719","343","22","btn2","0.78571428571429","28","1","0","0","0","343","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","8079","371","23","btn2","0.82142857142857","28","0","1","0","0","0","371","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","8450","632","24","btn2","0.85714285714286","28","1","0","0","0","632","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","9083","440","25","btn2","0.89285714285714","28","0","1","0","0","0","440","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a0","9542","437","26","btn2","0.92857142857143","28","1","0","0","0","437","0","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","mouseout","0","0_1","0_0","a1","9979","204","27","btn2","0.96428571428571","28","0","1","0","0","0","204","0","0"
"4","Demo2Boxes","Peter","::1","1","btn2","2016-07-13 21:40:25","onclick","0","0_1","0_0","btn2","10389","337","28","btn2","1","28","0","0","1","0","0","0","337","0"
