"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","counter","relcount","maxcount","f_Cf","f_Df","f_Tf","f_Tp","f_Dp","f_Cp","f_D","f_T","f_C","t_Cf","t_Df","t_Tf","t_Tp","t_Dp","t_Cp","t_D","t_T","t_C"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Cf","29581","1411","1","0.0625","16","1","0","0","0","0","0","0","0","0","1411","0","0","0","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Df","30993","2788","2","0.125","16","0","1","0","0","0","0","0","0","0","0","2788","0","0","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Tf","33781","1718","3","0.1875","16","0","0","1","0","0","0","0","0","0","0","0","1718","0","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Tp","35499","929","4","0.25","16","0","0","0","1","0","0","0","0","0","0","0","0","929","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Dp","36446","786","5","0.3125","16","0","0","0","0","1","0","0","0","0","0","0","0","0","786","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Cp","37615","533","6","0.375","16","0","0","0","0","0","1","0","0","0","0","0","0","0","0","533","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Dp","38148","351","7","0.4375","16","0","0","0","0","1","0","0","0","0","0","0","0","0","351","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Tp","38500","2288","8","0.5","16","0","0","0","1","0","0","0","0","0","0","0","0","2288","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Dp","40788","1386","9","0.5625","16","0","0","0","0","1","0","0","0","0","0","0","0","0","1386","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Tp","42191","1405","10","0.625","16","0","0","0","1","0","0","0","0","0","0","0","0","1405","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Dp","43596","399","11","0.6875","16","0","0","0","0","1","0","0","0","0","0","0","0","0","399","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Cp","44013","2119","12","0.75","16","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2119","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Cf","46132","686","13","0.8125","16","1","0","0","0","0","0","0","0","0","686","0","0","0","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Tf","47009","631","14","0.875","16","0","0","1","0","0","0","0","0","0","0","0","631","0","0","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","mouseout","0_2_1","0_3_1_2","0_0","Dp","47658","242","15","0.9375","16","0","0","0","0","1","0","0","0","0","0","0","0","0","242","0","0","0","0"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","onclick","0_2_1","0_3_1_2","0_0","D","47987","443","16","1","16","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","443","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Tp","906","328","1","0.0285714285714","35","0","0","0","1","0","0","0","0","0","0","0","0","328","0","0","0","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Df","49724","315","2","0.0571428571429","35","0","1","0","0","0","0","0","0","0","0","315","0","0","0","0","0","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Dp","50058","11335","3","0.0857142857143","35","0","0","0","0","1","0","0","0","0","0","0","0","0","11335","0","0","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Tp","61394","762","4","0.114285714286","35","0","0","0","1","0","0","0","0","0","0","0","0","762","0","0","0","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Cp","62158","226","5","0.142857142857","35","0","0","0","0","0","1","0","0","0","0","0","0","0","0","226","0","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","mouseout","0_1_2","0_1_2_3","0_0","Dp","62474","584","6","0.171428571429","35","0","0","0","0","1","0","0","0","0","0","0","0","0","584","0","0","0","0"
