"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","counter","relcount","maxcount","f_Tf","f_Tp","f_Cp","f_Cf","f_Df","f_Dp","f_C","f_T","f_D","t_Tf","t_Tp","t_Cp","t_Cf","t_Df","t_Dp","t_C","t_T","t_D"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tf","8589","3907","1","0.0285714285714","35","1","0","0","0","0","0","0","0","0","3907","0","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tp","12789","1120","2","0.0571428571429","35","0","1","0","0","0","0","0","0","0","0","1120","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tf","13927","2900","3","0.0857142857143","35","1","0","0","0","0","0","0","0","0","2900","0","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tp","17160","2816","4","0.114285714286","35","0","1","0","0","0","0","0","0","0","0","2816","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Cp","19976","1549","5","0.142857142857","35","0","0","1","0","0","0","0","0","0","0","0","1549","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Cf","21525","466","6","0.171428571429","35","0","0","0","1","0","0","0","0","0","0","0","0","466","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tf","22008","2089","7","0.2","35","1","0","0","0","0","0","0","0","0","2089","0","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Cf","24115","585","8","0.228571428571","35","0","0","0","1","0","0","0","0","0","0","0","0","585","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Tf","24700","1498","9","0.257142857143","35","1","0","0","0","0","0","0","0","0","1498","0","0","0","0","0","0","0","0"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","mouseout","0_2_1","0_2_1_3","0_0","Cf","26198","1025","10","0.285714285714","35","0","0","0","1","0","0","0","0","0","0","0","0","1025","0","0","0","0","0"
