"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","maxcount","f_Tf","f_Tp","f_Cp","f_Cf","f_Df","f_Dp","f_C","f_T","f_D","t_Tf","t_Tp","t_Cp","t_Cf","t_Df","t_Dp","t_C","t_T","t_D"
"4","ctxtC","S29","77.2.58.98","29","C","2016-07-15 18:29:48","0_2_1","0_2_1_3","1","35","6","5","7","8","4","4","1","0","0","11851","6705","7153","6811","4930","2640","305","0","0"
"28","ctxtC","S51","50.197.23.85","51","C","2016-07-15 20:17:22","0_1_2","0_3_2_1","1","55","10","10","11","11","4","7","2","0","0","8541","14524","15022","9181","8645","8902","1332","0","0"
"40","ctxtC","S55","213.127.85.116","55","C","2016-07-15 20:37:58","0_2_1","0_3_2_1","1","21","4","4","1","1","5","5","1","0","0","10051","6165","21269","3248","14878","7183","497","0","0"
"47","ctxtC","S59","74.134.138.203","59","C","2016-07-15 20:55:40","0_1_2","0_3_2_1","1","18","4","3","2","3","2","3","1","0","0","3047","3835","3569","4273","16255","24456","467","0","0"
"57","ctxtC","S63","192.68.112.173","63","C","2016-07-15 21:26:32","0_2_1","0_3_2_1","1","46","4","10","10","6","6","8","2","0","0","4644","7187","12033","9672","12861","7271","985","0","0"
"67","ctxtC","S67","213.126.58.10","67","C","2016-07-15 22:03:39","0_1_2","0_3_2_1","1","38","3","11","7","5","3","7","2","0","0","5879","13238","10069","10604","26928","22047","2546","0","0"
"74","ctxtC","S69","213.126.58.10","69","C","2016-07-15 22:24:45","0_2_1","0_2_1_3","1","24","5","7","5","2","1","3","1","0","0","19967","11695","6747","7758","2000","3272","1057","0","0"
"84","ctxtC","S71","77.251.245.190","71","C","2016-07-15 22:40:54","0_2_1","0_3_2_1","1","30","4","6","4","3","5","6","2","0","0","6982","5303","3417","6555","28739","12666","780","0","0"
"90","ctxtC","S73","77.251.245.190","73","C","2016-07-15 22:46:13","0_1_2","0_2_1_3","1","15","2","2","3","2","1","2","3","0","0","22137","8035","3213","2333","522","1872","777","0","0"
"100","ctxtC","S75","77.251.245.190","75","C","2016-07-15 22:55:48","0_1_2","0_3_2_1","1","13","1","3","2","1","2","3","1","0","0","767","5989","6069","6642","7417","17601","606","0","0"
"113","ctxtC","S81","186.222.4.227","81","C","2016-07-16 02:52:23","0_1_2","0_2_1_3","1","18","2","4","5","3","1","2","1","0","0","9413","12601","27585","7366","4983","7832","730","0","0"
"123","ctxtC","S85","172.124.186.122","85","C","2016-07-16 07:00:35","0_2_1","0_2_1_3","1","23","3","2","4","4","3","2","4","0","1","2656","2809","2889","4275","4140","1570","1493","0","324"
"124","ctxtC","S85","172.124.186.122","85","C","2016-07-16 07:00:36","0_2_1","0_2_1_3","1","23","3","2","4","4","3","2","4","0","1","2656","2809","2889","4275","4140","1570","1493","0","324"
