"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","maxcount","f_pic_2","f_pic_1","f_brand_1","f_brand_2","f_fat_1","f_fat_2","f_pro_1","f_pro_2","f_carb_1","f_carb_2","f_chol_1","f_chol_2","f_sod_1","f_sod_2","f_choiceB","f_choiceA","t_pic_2","t_pic_1","t_brand_1","t_brand_2","t_fat_1","t_fat_2","t_pro_1","t_pro_2","t_carb_1","t_carb_2","t_chol_1","t_chol_2","t_sod_1","t_sod_2","t_choiceB","t_choiceA"
"9","food1","S32","137.56.81.10","32","choiceB","2016-07-15 18:34:29","0_1_2_3_6_7_4_5","0_1_2","1","68","12","11","8","6","5","5","4","2","4","2","1","3","2","2","1","0","6746","7962","5075","2765","2855","2615","2018","1307","2116","1092","390","1042","838","1966","686","0"
"15","food1","S30","185.56.227.6","30","choiceB","2016-07-15 19:06:13","0_1_2_3_6_5_7_4","0_1_2","1","20","2","2","1","0","2","1","2","1","2","1","1","1","2","1","1","0","22202","1265","1288","0","3079","827","1104","757","689","420","246","750","1031","728","421","0"
"20","food1","S44","181.14.120.155","44","choiceB","2016-07-15 19:11:53","0_1_2_3_7_6_4_5","0_1_2","1","25","1","1","2","2","2","2","1","1","3","1","1","1","3","3","1","0","1348","1315","1565","1609","1572","3204","587","514","3921","1129","825","434","5664","3446","955","0"
"26","food1","S50","166.137.12.97","50","choiceB","2016-07-15 20:14:23","0_1_2_4_3_5_7_6","0_1_2","1","21","1","1","1","0","1","1","2","1","2","2","2","1","3","2","1","0","1459","1826","1066","0","1016","982","2874","1016","2918","2169","3683","984","2887","2261","15","0"
"35","food1","S54","129.49.100.21","54","choiceB","2016-07-15 20:31:18","0_1_2_4_3_6_7_5","0_1_2","1","45","5","3","3","2","4","4","3","2","3","3","3","1","4","4","1","0","3948","6690","3130","841","3064","1942","2313","880","2626","1868","1668","703","3017","2287","453","0"
"43","food1","S56","128.174.222.251","56","choiceB","2016-07-15 20:41:43","0_1_2_4_3_7_5_6","0_1_2","1","93","18","25","12","10","5","4","1","2","3","2","4","3","2","1","1","0","10518","15487","7369","6500","1658","1658","336","807","1554","977","1623","1116","688","661","265","0"
"52","food1","S60","132.235.144.119","60","choiceB","2016-07-15 20:59:15","0_1_2_4_5_3_6_7","0_1_2","1","54","2","3","2","3","9","5","5","3","4","3","2","1","6","4","1","1","1109","1169","735","1548","3101","2111","2077","1018","2178","1183","1076","446","2054","3405","408","379"
"65","food1","S66","64.247.70.48","66","choiceA","2016-07-15 21:57:31","0_1_2_4_5_6_7_3","0_1_2","1","25","4","4","1","1","2","2","1","1","2","1","1","1","2","1","0","1","3488","3640","971","675","853","6215","340","678","1691","613","358","347","795","685","0","1255"
"75","food1","S68","94.246.170.66","68","choiceB","2016-07-15 22:25:27","0_1_2_4_5_7_3_6","0_1_2","1","34","2","3","2","2","4","4","2","3","2","3","1","1","2","1","2","0","1840","5590","2816","1559","2543","3140","1747","1201","2712","1837","937","952","3072","1066","928","0"
"80","food1","S70","173.69.255.111","70","choiceB","2016-07-15 22:38:08","0_1_2_4_5_7_6_3","0_1_2","1","30","3","2","1","1","2","1","3","2","4","3","1","1","3","2","1","0","2203","2588","1764","1185","1605","845","1871","794","3704","1605","1073","586","2779","1455","483","0"
"95","food1","S74","77.251.245.190","74","choiceB","2016-07-15 22:52:27","0_1_2_4_6_3_7_5","0_1_2","1","28","6","4","3","2","1","1","1","1","2","1","1","1","1","2","1","0","5075","4130","2258","1793","1008","1339","1166","655","1327","887","1848","1214","865","1294","555","0"
"103","food1","S76","66.87.3.53","76","choiceB","2016-07-15 22:56:32","0_1_2_4_6_5_3_7","0_1_2","1","16","2","1","1","1","0","2","1","1","1","1","1","1","1","1","1","0","2477","3038","1626","2902","0","2816","459","648","673","499","527","556","575","525","0","0"
"108","food1","S80","77.11.106.37","80","choiceB","2016-07-16 01:30:17","0_1_2_4_6_7_3_5","0_1_2","1","20","1","2","1","0","2","1","3","0","1","0","1","1","3","2","1","1","797","2819","413","0","1429","1477","2758","0","925","0","848","1896","2978","1595","918","2174"
"116","food1","S82","73.171.122.78","82","choiceB","2016-07-16 02:54:56","0_1_2_4_6_7_5_3","0_1_2","1","57","5","4","4","6","2","2","3","3","4","4","2","3","6","7","2","0","4816","14407","2833","4135","2077","1106","2791","1297","2820","1744","1435","1918","4077","3068","713","0"
"120","food1","S84","108.18.236.14","84","choiceB","2016-07-16 03:43:02","0_1_2_4_7_3_5_6","0_1_2","1","18","1","2","1","1","1","1","1","1","2","2","1","1","1","1","1","0","2380","2217","779","1162","803","1155","833","673","2217","923","914","470","839","613","374","0"
