"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","mlchoice","maxcount","f_brand_1","f_chol_1","f_brand_2","f_chol_2","f_pro_1","f_pro_2","f_sod_2","f_sod_1","f_carb_1","f_carb_2","f_pic_1","f_pic_2","f_fat_1","f_fat_2","f_choiceB","f_choiceA","t_brand_1","t_chol_1","t_brand_2","t_chol_2","t_pro_1","t_pro_2","t_sod_2","t_sod_1","t_carb_1","t_carb_2","t_pic_1","t_pic_2","t_fat_1","t_fat_2","t_choiceB","t_choiceA"
"29","food2","S51","50.197.23.85","51","choiceB","2016-07-15 20:17:42","0_1_2_4_3_5_7_6","0_2_1","1","choiceB","22","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","0","2524","1762","1893","772","694","568","692","886","686","568","952","697","669","853","671","0"
"41","food2","S55","213.127.85.116","55","choiceA","2016-07-15 20:38:31","0_1_2_4_3_6_7_5","0_2_1","1","choiceA","18","2","1","2","1","1","1","1","2","1","1","1","1","1","1","0","1","2994","866","4645","2953","2030","1318","2973","1189","1158","2753","741","938","706","841","0","388"
"49","food2","S59","74.134.138.203","59","choiceA","2016-07-15 20:56:28","0_1_2_4_3_7_6_5","0_2_1","1","choiceA","36","3","3","1","3","2","3","3","3","2","2","2","2","2","4","0","1","2822","2477","1883","1663","1043","1795","2384","2087","2646","899","2599","1154","1333","3589","0","408"
"58","food2","S63","192.68.112.173","63","choiceA","2016-07-15 21:27:19","0_1_2_4_5_3_7_6","0_2_1","1","choiceA","46","4","2","6","4","2","3","3","2","2","2","2","5","2","6","0","1","5832","1146","10260","1636","1189","2267","1807","1595","1098","1352","1610","3425","1597","2758","0","1112"
"68","food2","S67","213.126.58.10","67","choiceA","2016-07-15 22:04:48","0_1_2_4_5_6_7_3","0_2_1","1","choiceA","44","3","3","3","4","3","2","4","4","4","3","3","2","3","2","0","1","3029","3005","9168","2753","2632","4944","3832","3190","2764","3417","4026","1430","2334","1453","0","910"
"76","food2","S69","213.126.58.10","69","choiceA","2016-07-15 22:26:36","0_1_2_4_5_7_3_6","0_2_1","1","choiceA","64","1","7","6","7","4","5","6","3","3","5","1","7","4","4","0","1","2388","11595","7126","5382","3489","4712","9875","2372","3429","3402","812","4772","24113","3670","0","558"
"86","food2","S71","77.251.245.190","71","choiceB","2016-07-15 22:41:30","0_1_2_4_5_7_6_3","0_2_1","1","choiceB","24","2","2","2","3","2","1","1","1","2","1","2","2","1","1","1","0","3048","2012","7106","1656","1129","635","395","797","942","615","2075","1209","1040","443","495","0"
"91","food2","S73","77.251.245.190","73","choiceB","2016-07-15 22:46:56","0_1_2_4_6_3_5_7","0_2_1","1","choiceB","30","3","3","5","2","2","3","1","1","1","1","2","2","2","1","1","0","4549","1266","8553","980","1498","1193","3797","775","563","611","1507","907","1643","981","998","0"
"102","food2","S75","77.251.245.190","75","choiceB","2016-07-15 22:56:30","0_1_2_4_6_3_7_5","0_2_1","1","choiceB","30","2","3","4","2","3","2","1","1","2","1","2","2","1","3","1","0","2238","3307","5343","1065","1581","1216","513","683","926","602","1528","1995","642","2237","675","0"
"114","food2","S81","186.222.4.227","81","choiceB","2016-07-16 02:53:18","0_1_2_4_6_7_3_5","0_2_1","1","choiceB","24","1","2","2","1","1","1","1","2","2","1","3","2","2","2","1","0","3730","1881","5508","956","832","955","730","2013","2979","2486","4582","4131","3092","2528","874","0"
"125","food2","S85","172.124.186.122","85","choiceA","2016-07-16 07:01:02","0_1_2_4_7_3_5_6","0_2_1","1","choiceA","30","3","0","4","2","1","3","3","1","2","3","1","3","1","2","0","1","4154","0","3437","760","485","1884","1219","446","916","1386","874","2095","600","954","0","342"
