"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","counter","relcount","maxcount","f_o_a2","f_p_a2","f_o_a1","f_p_a1","f_o_b2","f_p_b2","f_p_b1","f_o_b1","f_B","f_A","t_o_a2","t_p_a2","t_o_a1","t_p_a1","t_o_b2","t_p_b2","t_p_b1","t_o_b1","t_B","t_A"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_a2","19422","1763","1","0.047619047619","21","1","0","0","0","0","0","0","0","0","0","1763","0","0","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_a2","21202","1051","2","0.0952380952381","21","0","1","0","0","0","0","0","0","0","0","0","1051","0","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_a1","22270","1234","3","0.142857142857","21","0","0","1","0","0","0","0","0","0","0","0","0","1234","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_a1","23538","2112","4","0.190476190476","21","0","0","0","1","0","0","0","0","0","0","0","0","0","2112","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_a2","25650","2417","5","0.238095238095","21","0","1","0","0","0","0","0","0","0","0","0","2417","0","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_a2","28068","1197","6","0.285714285714","21","1","0","0","0","0","0","0","0","0","0","1197","0","0","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b2","29629","1061","7","0.333333333333","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1061","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b2","31435","328","8","0.380952380952","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","328","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_b2","31780","775","9","0.428571428571","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","775","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_b2","32830","540","10","0.47619047619","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","540","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b1","33389","1245","11","0.52380952381","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1245","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_b1","34651","2046","12","0.571428571429","21","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2046","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_a1","37007","718","13","0.619047619048","21","0","0","1","0","0","0","0","0","0","0","0","0","718","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_a1","37725","1444","14","0.666666666667","21","0","0","0","1","0","0","0","0","0","0","0","0","0","1444","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b1","39342","450","15","0.714285714286","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","450","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_b1","39809","1271","16","0.761904761905","21","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1271","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","p_b2","41219","477","17","0.809523809524","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","477","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b2","41696","583","18","0.857142857143","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_a2","42383","626","19","0.904761904762","21","1","0","0","0","0","0","0","0","0","0","626","0","0","0","0","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","mouseout","0_2_1","0_1_2_3_4","0_0","o_b2","43199","416","20","0.952380952381","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","416","0","0","0","0","0"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","onclick","0_2_1","0_1_2_3_4","0_0","B","43685","544","21","1","21","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","544","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a1","14560","3642","1","0.047619047619","21","0","0","1","0","0","0","0","0","0","0","0","0","3642","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a2","18203","607","2","0.0952380952381","21","1","0","0","0","0","0","0","0","0","0","607","0","0","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a1","18823","1664","3","0.142857142857","21","0","0","1","0","0","0","0","0","0","0","0","0","1664","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a2","20500","332","4","0.190476190476","21","1","0","0","0","0","0","0","0","0","0","332","0","0","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a1","20858","634","5","0.238095238095","21","0","0","1","0","0","0","0","0","0","0","0","0","634","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_a2","21505","950","6","0.285714285714","21","1","0","0","0","0","0","0","0","0","0","950","0","0","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","p_a1","22505","2997","7","0.333333333333","21","0","0","0","1","0","0","0","0","0","0","0","0","0","2997","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","p_a2","25566","775","8","0.380952380952","21","0","1","0","0","0","0","0","0","0","0","0","775","0","0","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","p_a1","26367","482","9","0.428571428571","21","0","0","0","1","0","0","0","0","0","0","0","0","0","482","0","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_b1","27040","1789","10","0.47619047619","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1789","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_b1","28982","1307","11","0.52380952381","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1307","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_b2","30315","1411","12","0.571428571429","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1411","0","0","0","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_b1","31789","966","13","0.619047619048","21","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","966","0","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","mouseout","0_1_2","0_1_2_3_4","0_0","o_b2","32869","445","14","0.666666666667","21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","445","0","0","0","0","0"
