"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","wtpa","wtpb","maxcount","f_o_b2","f_p_b2","f_p_b1","f_o_b1","f_p_a1","f_p_a2","f_o_a2","f_o_a1","t_o_b2","t_p_b2","t_p_b1","t_o_b1","t_p_a1","t_p_a2","t_o_a2","t_o_a1"
"2","ls2","S29","77.2.58.98","29","","2016-07-15 18:28:55","0_2_1","0_1_2_3_4","1","300","300","58","9","8","7","6","6","4","10","8","4973","5446","6849","4657","6879","3093","6571","4552"
"11","ls2","S35","195.169.169.136","35","","2016-07-15 18:42:22","0_2_1","1_0_2_4_3","1","400","100","53","9","9","6","6","7","6","4","6","5595","6752","4459","2904","3715","3871","1991","2842"
"27","ls2","S51","50.197.23.85","51","","2016-07-15 20:15:52","0_2_1","1_0_2_4_3","1","500","1","37","2","6","5","3","3","5","8","5","1141","5726","8387","2103","4210","4296","7264","8573"
"38","ls2","S55","213.127.85.116","55","","2016-07-15 20:36:29","0_2_1","1_0_2_4_3","1","100","100","10","1","1","1","1","2","1","1","2","463","785","495","2009","3676","880","690","2785"
"46","ls2","S59","74.134.138.203","59","","2016-07-15 20:53:46","0_2_1","1_0_2_4_3","1","$1","$5","11","1","1","1","1","1","2","2","2","750","1256","1390","1144","1255","2694","3224","4554"
"56","ls2","S63","192.68.112.173","63","","2016-07-15 21:25:08","0_2_1","1_0_2_4_3","1","$4","$30","72","10","6","7","10","8","6","12","13","7314","6405","4453","10171","7551","5042","11743","7535"
"60","ls2","S65","188.207.114.169","65","","2016-07-15 21:51:06","0_2_1","0_1_2_3_4","1","500","230","3","0","1","1","1","0","0","0","0","0","2733","666","5904","0","0","0","0"
"66","ls2","S67","213.126.58.10","67","","2016-07-15 21:59:54","0_2_1","1_0_2_4_3","1","5","0","28","1","3","3","1","5","3","6","6","1540","4810","25088","2885","12027","12932","15066","6685"
"72","ls2","S69","213.126.58.10","69","","2016-07-15 22:23:14","0_2_1","0_1_2_3_4","1","2","1","17","2","3","2","2","3","2","1","2","2123","3894","3233","2627","3150","1017","1247","1259"
"82","ls2","S71","77.251.245.190","71","","2016-07-15 22:39:37","0_2_1","1_0_2_4_3","1","100","50","29","1","3","4","2","7","4","3","5","1255","2251","8443","1341","8912","3505","8839","5169"
"83","ls2","S71","77.251.245.190","71","","2016-07-15 22:39:37","0_2_1","1_0_2_4_3","1","100","50","29","1","3","4","2","7","4","3","5","1255","2251","8443","1341","8912","3505","8839","5169"
"89","ls2","S73","77.251.245.190","73","","2016-07-15 22:44:19","0_2_1","0_1_2_3_4","1","1","50","39","4","7","4","5","5","4","5","5","3525","7035","9159","4458","12139","3590","3881","3635"
"98","ls2","S75","77.251.245.190","75","","2016-07-15 22:54:49","0_2_1","1_0_2_4_3","1","100","1","16","3","2","1","3","1","2","2","2","2295","2879","1440","2640","2348","10361","1278","1992"
"111","ls2","S81","186.222.4.227","81","","2016-07-16 02:50:44","0_2_1","0_1_2_3_4","1","0","0","38","7","7","4","5","5","3","3","4","9154","18728","10238","18363","21590","10255","18484","6000"
"122","ls2","S85","172.124.186.122","85","","2016-07-16 06:59:54","0_2_1","0_1_2_3_4","1","100","100","43","5","3","4","5","7","5","7","7","2097","2950","1604","2286","4669","2766","4201","3691"
